Product,Product Description,Website,Created By,Followers,Upvotes,Comments
Revscale™,"Sell smart, not hard",www.getrevscale.com,['Unnat Bak'],72,57,3
EasyListing.Info,Real estate description generator,easylisting.info,['Isaiah Ballah'],51,55,10
Code Interpreter Prompt Pack,"150+ prompts, 30 use case - a how-to-guide",allprompts.com/code-interpreter-prompts-pack,['Fred Lukens - Launching Today!'],52,55,6
A2O AI,Out-of-the-box generative AI solutions for your business,a2o.ai,"['rakend dubba', 'Pavan Mollagavelli']",52,52,3
TeacherDashboard.ai,"AI rubric maker, marking, report card comments & more",TeacherDashboard.ai,['Isaiah Ballah'],50,52,10
Latent Markets,Markets monitor & data analysis service,latentmarkets.com,['Lee Wen Jie'],43,49,2
Online Tuner,Free online guitar tuner that works on any device,onlinetuner.net,['craze'],44,47,7
Instaphrase,"One click AI source-backed reports + PDF, any citation style",instaphrase.com,['N'],49,46,3
Scenic Cycler,"Explore the world, one pedal at a time",haydn-mann-sceniccycler-scenic-cycler-streamlit-vu5syr.streamlit.app,['Haydn Mann'],40,42,2
LitGrades,AI powered flashcards and quizzes for students,litgrades.com,['Yash Bhatnagar'],109,38,2
Krotos Studio,Hollywood sound in seconds!,www.krotosaudio.com/p/krotos-studio/film-video-editors,['Matthew Collings'],29,29,4
Opaco focus,Website blocker that syncs with your phone.,opaco.app,['Mikk Martin'],19,22,5
SpotGPT by Spottabl,Free GenAI Tool for Recruiters & Interviewers,www.spottabl.com,"['Anupam Choudhari', 'Satheesh K V', 'Narasimha Prasad']",18,20,5
Loops,Email made easy,loops.so,"['Chris Frantz', 'Adam Kaczmarek', 'Samuel Wan', 'Phil Brockman']",1.7K,1483,326
Salesforge,Personalize every single email at any scale and any language,salesforge.ai,"['Abdul Rehman', 'Daniel Sanchez', 'Frank Sondors']",1.4K,1066,333
Jupitrr AI Video Maker,Auto-magically generates b-rolls for creators,jupitrr.com,"['vamsi krishna reddy bevara', 'Harris Cheng', 'Jerome Tse']",783,663,206
Supernotes 3,Take notes everywhere,supernotes.app,['Connor Neblett'],741,557,106
BoringCashCow,Discover boring businesses that quietly rake in the cash,boringcashcow.com,['David Maker'],601,560,64
Loom AI,"Record better, faster video messages with AI",www.loom.com,"['Anique Drumright', 'Joe Thomas']",1.5K,396,44
WriterZen,Scale up SEO content production with a simplified workflow,writerzen.net,"['Giang Dang', 'Andy Tran']",401,341,90
Liveblocks Yjs,Build collaborative Notion-like text editors in minutes,liveblocks.io,"['Steven Fabre', 'Chris']",525,338,99
Elephas,"Personal AI writing assistant for Mac, iPhone and iPad",elephas.app,['Kamban'],541,284,94
Viral Tools,A list of the most successful captions on Instagram ever,lovexplorego.gumroad.com/l/viral-captions,['Jaime Matos'],296,270,133
HeadshotGenerator.io,Transforms your selfies into professional headshots,www.headshotgenerator.io,['maelys'],227,196,39
Jam Tracing,Instantly record and debug across your entire stack,jam.dev,"['Dani Grant', 'Preston Pham', 'Marijana Filipovic', 'Petar Cirkovic', 'Chad Pugh', 'Beth Gilmore', 'Marc LaRocco']",837,182,47
Latentspace,Your AI data assistant,www.latentspace.dev/#,['Qasim Munye'],160,158,27
Featurebase,Create your product feedback community,featurebase.app,['Markus Palm'],259,154,56
TheB.AI,Your all-in-one AI platform,www.theb.ai,['Yaxun Wang'],160,152,18
Rewardue,Fuel your organization's productivity,Rewardue.com,['Soroush Malekyari'],412,134,72
Taste Bud,Your AI-powered cooking collaborator,taste-bud.io,['Sarah Lawrence'],107,111,32
Cabana 7,Design system for Figma,cabanaforfigma.com,['Ian Turk'],208,104,20
Flowclass,"Launch your course, recruit students, build your platform",flowclass.io,['Michelle Cheung'],102,92,29
Beep,Giving visual feedback made easy,chrome.google.com/webstore/detail/beep-add-comments-anywher/ikaaobembkokejbemkilhcdadlchjagn,['Farid Sukurov'],248,72,19
Cruzzie,Data collaboration with no-code,cruzzie.com,['Haruka Takamori'],73,73,14
Hai,AI-powered effortless dating,www.hai.xyz,"['Hubert Jaruzal', 'Mai Sekiguchi']",69,68,28
The macOS App Icon Book,An artbook celebrating the art and craft of app icon design,www.kickstarter.com/projects/flarup/the-macos-app-icon-book,['Michael Flarup'],69,69,5
ProCube,"Engage users with notification, messages without code change",procube.co.in,['Aman Gupta'],66,67,14
MaximAIze.me,"Unleash your alter ego, fun images from your selfies",maximaize.me,['Levente Tóth'],73,61,15
Notion Template Checklist,All checklists are here,ahmetmertugrul.lemonsqueezy.com/checkout,['Ahmet Muhammed Ertugrul'],63,60,12
Charmed AI Texture Generator,Generate beautiful textures for 3D game objects,charmed.ai,"['Marian Cristi Vrabie', 'Jeremy Tryba']",61,58,11
🅰️ Amanu,Turn your team chat into an intelligent knowledge base,amanu.ai,['Marco Chiappetta'],59,56,12
Protowallet,"Free, open source, GPT powered, offline expense tracker",github.com/unproducts/protowallet,['Aman Desai'],87,54,6
TP–7,the ultra-portable audio recorder,teenage.engineering,[],57,47,6
CountABC,Free counting API,countabc.xyz,['Shubh Mittal'],55,53,12
AIX,Unlock the potential of AI for your business,www.eway.space/aix,['David | Endeavours Way'],70,55,8
Thrive Browser Extension,"Removes the feed from Youtube, Instagram and Amazon",chrome.google.com/webstore/detail/thrive-distraction-free-i/ihgeijoonjmdfkamhpgoedplnmbencgd,['Nathan Miranda'],59,57,16
PopStory!!,Childrens story creator for children by children,popstory.co.uk,['Edward Grundy'],50,50,17
BrandGrab,Plug-n-play widget for sharing your logos,colinkeany.github.io/brandgrab,['Colin'],47,46,9
SoulPod,Go deeper with personalized spiritual journeys in community,www.soulpodapp.com,['Crystal Cassidy'],43,44,13
iyashi 癒し,Flow writing without distractions,iyashi.app,['Guilherme Campos'],46,46,21
TubePrompAds With GPT-4,The ultimate YouTube advertising prompt collection,vikasbiz.gumroad.com/l/oeplp/sbxyh6u,['Vikas Kumar'],46,45,10
LaunchScience,Everything you need for great product launches,www.launchscience.com,"['Ari Paparo', 'Sean McQueen', 'Giuseppe Furcolo']",35,33,5
Axe,The AI powered co-pilot for finance & accounting teams,landing.joinaxe.com,['James McElroy'],51,47,8
heyroom,Find roommates with the same vibe without endless castings,heyroom.app,['Johannes Bader'],43,42,16
Weekly S&P500 ChartStorm,An easy visual way to keep tabs on the stockmarket outlook,www.chartstorm.info,['Callum Thomas'],61,43,14
Pages on Pages Extension,An extension that finds the cheapest place to buy a book,pagesonpages.com,['Shashank Singhal'],40,38,9
Reliably,Helping you to accelerate resilience engineering adoption,reliably.com,['Sylvain Hellegouarch'],35,34,6
AppMask,Hide the content on your screen when you're in public,apps.apple.com/cn/app/appmask/id6461309318,['Guanghui Liao'],23,22,1
Faith Chatbot,An AI chatbot specially designed for Christians worldwide,www.faithchatbot.com,['harry chukwuemeke'],16,16,3
